datetime,cpm,cps
 2019-07-31 05:30:34,15,0
 2019-07-31 05:30:35,15,0
 2019-07-31 05:30:36,15,0
 2019-07-31 05:30:36,15,0
 2019-07-31 05:30:37,15,0
 2019-07-31 05:30:39,14,0
 2019-07-31 05:30:40,14,0
 2019-07-31 05:30:41,17,3
 2019-07-31 05:30:42,17,0
 2019-07-31 05:30:43,16,0
 2019-07-31 05:30:43,16,0
 2019-07-31 05:30:44,16,0
 2019-07-31 05:30:46,16,0
 2019-07-31 05:30:47,16,0
 2019-07-31 05:30:48,16,0
 2019-07-31 05:30:49,16,0
 2019-07-31 05:30:50,16,0
 2019-07-31 05:30:51,16,0
 2019-07-31 05:30:51,16,0
 2019-07-31 05:30:52,15,0
 2019-07-31 05:30:54,15,0
 2019-07-31 05:30:55,15,0
 2019-07-31 05:30:56,14,0
 2019-07-31 05:30:57,14,0
 2019-07-31 05:30:58,14,0
 2019-07-31 05:30:58,14,0
 2019-07-31 05:30:59,13,0
 2019-07-31 05:31:01,13,1
 2019-07-31 05:31:02,13,0
 2019-07-31 05:31:03,13,0
 2019-07-31 05:31:04,13,0
 2019-07-31 05:31:05,13,0
 2019-07-31 05:31:06,13,0
 2019-07-31 05:31:06,13,0
 2019-07-31 05:31:08,13,0
 2019-07-31 05:31:09,13,0
 2019-07-31 05:31:10,13,0
 2019-07-31 05:31:11,12,0
 2019-07-31 05:31:12,10,0
 2019-07-31 05:31:13,11,1
 2019-07-31 05:31:13,11,0
 2019-07-31 05:31:14,11,0
 2019-07-31 05:31:16,12,1
 2019-07-31 05:31:17,12,1
 2019-07-31 05:31:18,13,1
 2019-07-31 05:31:19,13,0
 2019-07-31 05:31:20,13,0
 2019-07-31 05:31:20,12,0
 2019-07-31 05:31:21,13,1
 2019-07-31 05:31:23,12,0
 2019-07-31 05:31:24,12,0
 2019-07-31 05:31:25,10,0
 2019-07-31 05:31:26,9,0
 2019-07-31 05:31:27,9,0
 2019-07-31 05:31:28,10,1
 2019-07-31 05:31:28,11,1
 2019-07-31 05:31:29,11,0
 2019-07-31 05:31:31,11,0
 2019-07-31 05:31:32,11,0
 2019-07-31 05:31:33,11,0
 2019-07-31 05:31:34,11,0
 2019-07-31 05:31:35,11,0
 2019-07-31 05:31:35,12,1
 2019-07-31 05:31:36,12,0
 2019-07-31 05:31:38,12,0
 2019-07-31 05:31:39,13,1
 2019-07-31 05:31:40,15,2
 2019-07-31 05:31:41,12,0
 2019-07-31 05:31:42,12,0
 2019-07-31 05:31:43,12,0
 2019-07-31 05:31:43,12,0
 2019-07-31 05:31:44,12,0
 2019-07-31 05:31:46,12,0
 2019-07-31 05:31:47,12,0
 2019-07-31 05:31:48,12,0
 2019-07-31 05:31:49,12,0
 2019-07-31 05:31:50,12,0
 2019-07-31 05:31:50,13,1
 2019-07-31 05:31:51,13,0
 2019-07-31 05:31:53,13,0
 2019-07-31 05:31:54,14,1
 2019-07-31 05:31:55,15,1
 2019-07-31 05:31:56,15,0
 2019-07-31 05:31:57,15,0
 2019-07-31 05:31:58,15,0
 2019-07-31 05:31:58,15,0
 2019-07-31 05:32:00,15,0
 2019-07-31 05:32:01,14,0
 2019-07-31 05:32:02,14,0
 2019-07-31 05:32:03,14,0
 2019-07-31 05:32:04,14,0
 2019-07-31 05:32:05,14,0
 2019-07-31 05:32:05,14,0
 2019-07-31 05:32:06,14,0
 2019-07-31 05:32:08,15,1
 2019-07-31 05:32:09,15,0
 2019-07-31 05:32:10,15,0
 2019-07-31 05:32:11,16,1
 2019-07-31 05:32:12,17,1
 2019-07-31 05:32:12,16,0
 2019-07-31 05:32:12,16,0
 2019-07-31 05:32:13,16,0
 2019-07-31 05:32:15,16,1
 2019-07-31 05:32:16,16,1
 2019-07-31 05:32:17,15,0
 2019-07-31 05:32:18,15,0
 2019-07-31 05:32:19,15,0
 2019-07-31 05:32:20,15,0
 2019-07-31 05:32:20,14,0
 2019-07-31 05:32:21,15,1
 2019-07-31 05:32:23,15,0
 2019-07-31 05:32:24,15,0
 2019-07-31 05:32:25,18,3
 2019-07-31 05:32:26,18,0
 2019-07-31 05:32:27,17,0
 2019-07-31 05:32:27,17,1
 2019-07-31 05:32:28,17,0
 2019-07-31 05:32:30,17,0
 2019-07-31 05:32:31,17,0
 2019-07-31 05:32:32,18,1
 2019-07-31 05:32:33,18,0
 2019-07-31 05:32:34,19,1
 2019-07-31 05:32:35,18,0
 2019-07-31 05:32:35,18,0
 2019-07-31 05:32:36,18,0
 2019-07-31 05:32:38,17,0
 2019-07-31 05:32:39,15,0
 2019-07-31 05:32:40,15,0
 2019-07-31 05:32:41,15,0
 2019-07-31 05:32:42,15,0
 2019-07-31 05:32:42,15,0
